;Correct;Total;Wrong;TotalResult;Percentage;ROIDifference;Straightness;Execution;Search;Groupe;Overlap
table-easy1;2;13;11;4;15.384616;8.013244;98.653854;7.816000;7.769000;-8.398000;0.037000
table-easy2;4;13;9;4;30.769232;6.504382;0.000000;7.934000;7.925000;-8.497000;0.005000
table-easy3;5;13;8;5;38.461540;199.328934;99.252136;7.439000;7.426000;-7.982000;0.007000
table-easy4;3;13;10;3;23.076923;6.742449;99.038467;9.268000;9.246000;-9.848000;0.014000
table-easy5;6;13;7;7;46.153847;4.057414;98.782051;7.516000;7.499000;-8.081000;0.012000
table-easy6;6;13;7;6;46.153847;6.275167;99.358978;7.627000;7.616000;-8.185000;0.007000
table-hard1;1;13;12;1;7.692308;5.235611;92.756424;6.422000;6.416000;-6.964000;0.004000
table-hard2;0;13;13;0;0.000000;0.000000;85.940178;6.018000;6.018000;0.000000;0.000000
table-hard3;2;13;11;2;15.384616;6.694512;94.487175;7.066000;7.059000;-7.623000;0.003000
table-hard4;2;13;11;2;15.384616;146.923447;94.252144;7.620000;7.604000;-8.183000;0.014000
table-hard5;0;13;13;0;0.000000;0.000000;94.957268;7.350000;7.350000;0.000000;0.000000
table-hard6;0;13;13;0;0.000000;0.000000;93.632477;6.911000;6.911000;0.000000;0.000000
table-hard7;2;13;11;3;15.384616;9.038318;96.282043;7.786000;7.777000;-8.339000;0.005000
table-medium1;3;13;10;4;23.076923;9.976445;98.354698;7.812000;7.783000;-8.347000;0.013000
table-medium2;2;13;11;3;15.384616;197.964539;97.414520;6.492000;6.484000;-7.057000;0.004000
table-medium3;2;12;10;3;16.666668;6.602545;96.313133;7.135000;7.114000;-7.678000;0.008000
table-medium4;2;13;11;3;15.384616;11.892627;98.589737;7.897000;7.888000;-8.445000;0.005000
table-medium5;4;13;9;4;30.769232;145.704529;98.482903;7.060000;7.049000;-7.605000;0.007000
table-medium6;3;13;10;3;23.076923;8.735692;97.991463;7.790000;7.771000;-8.345000;0.015000
table-medium7;7;13;6;7;53.846157;10.254272;98.076920;6.966000;6.953000;-7.509000;0.007000
table-medium8;3;13;10;3;23.076923;10.979189;98.290596;7.422000;7.403000;-7.969000;0.008000
