;Correct;Total;Wrong;Percentage;ROIDifference;Straightness;Execution;Search;Groupe;Overlap
table-easy1;5;13;8;38.461540;6.558574;98.653854;3.342000;3.324000;-3.963000;0.006000
table-easy2;6;13;7;46.153847;135.186264;0.000000;2.990000;2.972000;-3.599000;0.012000
table-easy3;4;13;9;30.769232;199.014816;99.252136;2.970000;2.949000;-3.561000;0.008000
table-easy4;3;13;10;23.076923;142.666397;99.038467;3.237000;3.205000;-3.830000;0.005000
table-easy5;6;13;7;46.153847;4.812144;98.782051;3.377000;3.356000;-3.994000;0.011000
table-easy6;3;13;10;23.076923;3.427051;99.358978;3.150000;3.142000;-3.774000;0.004000
table-hard1;0;13;13;0.000000;0.000000;92.756424;2.710000;2.702000;-3.346000;0.004000
table-hard2;0;13;13;0.000000;0.000000;85.940178;2.232000;2.232000;0.000000;0.000000
table-hard3;2;13;11;15.384616;9.480189;94.487175;2.957000;2.950000;-3.580000;0.003000
table-hard4;4;13;9;30.769232;147.283310;94.252144;2.696000;2.686000;-3.321000;0.005000
table-hard5;0;13;13;0.000000;0.000000;94.957268;2.332000;2.323000;-2.976000;0.005000
table-hard6;0;13;13;0.000000;0.000000;93.632477;2.176000;2.176000;0.000000;0.000000
table-hard7;1;13;12;7.692308;5.441881;96.282043;2.808000;2.801000;-3.423000;0.005000
table-medium1;0;13;13;0.000000;0.000000;98.354698;3.043000;3.029000;-3.668000;0.009000
table-medium2;4;13;9;30.769232;197.994019;97.414520;3.292000;3.272000;-3.905000;0.012000
table-medium3;3;12;9;25.000000;3.063958;96.313133;3.087000;3.071000;-3.723000;0.010000
table-medium4;1;13;12;7.692308;9.277369;98.589737;2.974000;2.965000;-3.599000;0.004000
table-medium5;2;13;11;15.384616;568.114685;98.482903;3.295000;3.280000;-3.916000;0.009000
table-medium6;2;13;11;15.384616;142.797852;97.991463;2.911000;2.904000;-3.519000;0.004000
table-medium7;7;13;6;53.846157;149.194778;98.076920;3.180000;3.167000;-3.786000;0.005000
table-medium8;3;13;10;23.076923;11.660707;98.290596;3.378000;3.344000;-3.991000;0.020000
